residue_type,stereo_abs,stereo_rel,short label,canonical smiles,doi,url
,,,Mr-507,CCCCc1cc2c(OC)cc(cc2oc1=O)OC,10.14272/QQHBACMQHDBWBT-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/QQHBACMQHDBWBT-UHFFFAOYSA-N.1
,,,Mr-508,IC12CC(C1)(C2)I,10.14272/JJWNAOGSAYBEPB-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/JJWNAOGSAYBEPB-UHFFFAOYSA-N.1
,,,Mr-509,Clc1cc(Cl)cc(c1)C(=O)O[I](c1ccccc1)OC(=O)c1cc(Cl)cc(c1)Cl,10.14272/WKNUABFOBBBWQC-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/WKNUABFOBBBWQC-UHFFFAOYSA-N.1
,,,Mr-51,CCCCCCCCCOC(=O)C(=O)O,10.14272/ZFWFEGCLMGKIGK-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/ZFWFEGCLMGKIGK-UHFFFAOYSA-N.1
,,,Mr-510,O=C(c1c(F)c(F)c(c(c1F)F)F)O[I](c1ccccc1)OC(=O)c1c(F)c(F)c(c(c1F)F)F,10.14272/JAHUWIJJRZATHV-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/JAHUWIJJRZATHV-UHFFFAOYSA-N.1
,,,Mr-511,Clc1cccc(c1)C(=O)O[I](c1ccccc1)OC(=O)c1cccc(c1)Cl,10.14272/XJWGUCRNMMHREZ-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/XJWGUCRNMMHREZ-UHFFFAOYSA-N.1
,,,Mr-512,Cc1cc(C)cc(c1)C(=O)O[I](c1ccccc1)OC(=O)c1cc(C)cc(c1)C,10.14272/BDGLYIFQHWPHGI-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/BDGLYIFQHWPHGI-UHFFFAOYSA-N.1
,,,Mr-513,COC(=O)c1cc(OCc2ccccc2)ccc1[N+](=O)[O-],10.14272/NLCYTWWWIQTEDH-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/NLCYTWWWIQTEDH-UHFFFAOYSA-N.1
,,,Mr-515,OC(=O)c1cc(OCc2ccccc2)ccc1[N+](=O)[O-],10.14272/HUIYIFIIMHKYIP-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/HUIYIFIIMHKYIP-UHFFFAOYSA-N.1
,,,Mr-516,CCC(=C1SCCS1)C(C(=O)OC)CC(=O)OC,10.14272/MRPUMAFLNFWMQI-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/MRPUMAFLNFWMQI-UHFFFAOYSA-N.1
,,,Mr-518,CCCCn1cc(c2c1cccc2)CC(=O)NC(C(=O)OC)CC(C)C,10.14272/JLDKPCPJLWYZDO-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/JLDKPCPJLWYZDO-UHFFFAOYSA-N.1
,,,Mr-519,Nc1nn(c2c1cccc2)C(=O)C(C)(C)C,10.14272/QCULHPGMKXPELA-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/QCULHPGMKXPELA-UHFFFAOYSA-N.1
,,,Mr-520,OC(=O)c1cccc(c1)SC12CC(C1)C2,10.14272/OMUFJMMSJBNMQW-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/OMUFJMMSJBNMQW-UHFFFAOYSA-N.1
,,,Mr-521,[O-][N+](=O)c1cc2CCc3ccc(CCc1cc2)cc3,10.14272/AQTVUYPMQTWGJZ-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/AQTVUYPMQTWGJZ-UHFFFAOYSA-N.1
,,,Mr-522,N#Cc1cc2CCc3ccc(CCc1cc2)c(c3)c1ccc(cc1)N(c1ccccc1)c1ccccc1,10.14272/CJWDOONTHISDIS-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/CJWDOONTHISDIS-UHFFFAOYSA-N.1
,,,Mr-523,N#Cc1cc2CCc3ccc(CCc1cc2)c(c3)Br,10.14272/BCOIUDGKUYYXRX-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/BCOIUDGKUYYXRX-UHFFFAOYSA-N.1
,,,Mr-524,N#Cc1cc2CCc3ccc(CCc1cc2)cc3C#N,10.14272/ZNAXZVWVJHSCLK-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/ZNAXZVWVJHSCLK-UHFFFAOYSA-N.1
,,,Mr-525,[N-]=[N+]=Nc1ccc(cc1)C(=O)c1cc2ccc1CCc1ccc(CC2)c(c1)Br,10.14272/ATGHWZLVTDBQMV-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/ATGHWZLVTDBQMV-UHFFFAOYSA-N.1
,,,Mr-526,c1ccc(cc1)Nc1cc2CCc3ccc(CCc1cc2c1ccc2c(c1)cc1c(c2)cccc1)cc3,10.14272/WWGWJDBVZPPBII-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/WWGWJDBVZPPBII-UHFFFAOYSA-N.1
,,,Mr-528,c1ccc(cc1)Nc1cc2CCc3ccc(CCc1cc2c1ccc(cc1)N(c1ccccc1)c1ccccc1)cc3,10.14272/RMZJTTMHTWOBRS-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/RMZJTTMHTWOBRS-UHFFFAOYSA-N.1
,,,Mr-530,C#Cc1ccc(cc1)c1ccc(cc1)C#C,10.14272/MXJJMQSKDPNPSX-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/MXJJMQSKDPNPSX-UHFFFAOYSA-N.1
,,,Mr-532,Cc1ccccc1SC12CC(C1)C2,10.14272/RFLLHTVEIIZFBB-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/RFLLHTVEIIZFBB-UHFFFAOYSA-N.1
,,,Mr-533,CCCCn1cc(c2c1cccc2)CC(=O)NC(C(=O)OC)Cc1ccccc1,10.14272/VXTWRFZYIXROAP-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/VXTWRFZYIXROAP-UHFFFAOYSA-N.1
,,,Mr-534,COC(=O)C(Cc1ccccc1)NC(=O)Cc1cn(c2c1cccc2)Cc1cc(F)cc(c1)F,10.14272/FYKHXLFWVVMXLY-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/FYKHXLFWVVMXLY-UHFFFAOYSA-N.1
,,,Mr-535,CCOc1cc(OC)c(c(c1)O)C=O,10.14272/WEQOBXHUKDTNQY-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/WEQOBXHUKDTNQY-UHFFFAOYSA-N.1
,,,Mr-536,ClCCC(=C1SCCS1)C1CCCC(=O)C1,10.14272/XCZVBGQHMCFXSF-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/XCZVBGQHMCFXSF-UHFFFAOYSA-N.1
,,,Mr-537,O=C(c1ccccc1)Nc1nn(c2c1cccc2)C(=O)c1ccccc1,10.14272/JZDIDTZRRZBTNF-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/JZDIDTZRRZBTNF-UHFFFAOYSA-N.1
,,,Mr-538,OC(=O)CCc1nc2ccccc2[nH]c1=O,10.14272/HROJWOXFEZYMGL-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/HROJWOXFEZYMGL-UHFFFAOYSA-N.1
,,,Mr-539,CCCCn1cc(c2c1ccc(c2)C#N)C(=O)c1ccc(cc1)C,10.14272/WWDYHYKWTBBWJR-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/WWDYHYKWTBBWJR-UHFFFAOYSA-N.1
,,,Mr-54,NCCSSCCNC(=O)OC(C)(C)C,10.14272/XGHNLHVZHBSTHO-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/XGHNLHVZHBSTHO-UHFFFAOYSA-N.1
,,,Mr-540,FC(c1ccc(cc1)Cn1ccc2c1cccc2)(F)F,10.14272/ASDUSQIQATUEKD-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/ASDUSQIQATUEKD-UHFFFAOYSA-N.1
,,,Mr-541,COC(=O)C(Cc1ccccc1)NC(=O)Cc1cn(c2c1cccc2)Cc1ccc(cc1)C(F)(F)F,10.14272/TWMFZPLYRDRENG-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/TWMFZPLYRDRENG-UHFFFAOYSA-N.1
